image_path,ground_truth_label,model_output
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0001.jpg,crack_not_on_road,"ERROR: Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'message': '<400> InternalError.Algo.InvalidParameter: The provided URL does not appear to be valid. Ensure it is correctly formatted.', 'param': None, 'type': 'invalid_request_error'}, 'request_id': '223a1869-c5f4-4875-ab90-7dd88b48318e'}"
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0002.jpg,crack_not_on_road,"ERROR: Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'message': '<400> InternalError.Algo.InvalidParameter: The provided URL does not appear to be valid. Ensure it is correctly formatted.', 'param': None, 'type': 'invalid_request_error'}, 'request_id': '2f824177-3fec-4e0b-8f55-bcf4aeb24133'}"
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0003.jpg,crack_not_on_road,"ERROR: Error code: 429 - {'errors': {'message': 'Request limit exceeded.', 'request_id': '13d4df93-c59f-4a85-82c8-1804ee374dd6'}}"
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0004.jpg,crack_not_on_road,"ERROR: Error code: 429 - {'errors': {'message': 'Request limit exceeded.', 'request_id': '7c5f7f0e-76dc-4848-8577-f46a39306dea'}}"
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0005.jpg,crack_not_on_road,"ERROR: Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'message': '<400> InternalError.Algo.InvalidParameter: The provided URL does not appear to be valid. Ensure it is correctly formatted.', 'param': None, 'type': 'invalid_request_error'}, 'request_id': 'f0953743-6c12-4a1a-b088-fa55392949e2'}"
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0006.jpg,crack_not_on_road,"ERROR: Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'message': '<400> InternalError.Algo.InvalidParameter: The provided URL does not appear to be valid. Ensure it is correctly formatted.', 'param': None, 'type': 'invalid_request_error'}, 'request_id': 'cdb1cf24-0b51-4a8a-bc5c-00e20349707c'}"
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0007.jpg,crack_not_on_road,"ERROR: Error code: 429 - {'errors': {'message': 'Request limit exceeded.', 'request_id': 'ea95a730-77ab-47dd-9986-8e9524dc5f23'}}"
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0008.jpg,crack_not_on_road,"ERROR: Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'message': '<400> InternalError.Algo.InvalidParameter: The provided URL does not appear to be valid. Ensure it is correctly formatted.', 'param': None, 'type': 'invalid_request_error'}, 'request_id': '5902526f-0815-4507-9dad-58564c52ea38'}"
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0009.jpg,crack_not_on_road,"ERROR: Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'message': '<400> InternalError.Algo.InvalidParameter: The provided URL does not appear to be valid. Ensure it is correctly formatted.', 'param': None, 'type': 'invalid_request_error'}, 'request_id': '1bac4ff3-d026-49f3-9e28-fe18677c72af'}"
C:\Users\admin\Desktop\Experiment01\Crack not on the road\crack_not_on_road_0010.jpg,crack_not_on_road,"ERROR: Error code: 429 - {'errors': {'message': 'Request limit exceeded.', 'request_id': '5b64c25f-5304-4ba4-8af0-3a0d5f0d1a77'}}"
